date,avg
3/1/24,39
3/2/24,47.5
3/3/24,51.5
3/4/24,57.5
3/5/24,53.5
3/6/24,53.5
3/7/24,55.5
3/8/24,52.5
3/9/24,46.5
3/10/24,43
3/11/24,46.5
3/12/24,54.5
3/13/24,56
3/14/24,60
3/15/24,64
3/16/24,55.5
3/17/24,60
3/18/24,43
3/19/24,43.5
3/20/24,51.5
3/21/24,41
3/22/24,40.5
3/23/24,44
3/24/24,41.5
3/25/24,43.5
3/26/24,47.5
3/27/24,48
3/28/24,49.5
3/29/24,47
3/30/24,49.5
3/31/24,54.5
2/1/24,41
2/2/24,45.5
2/3/24,41
2/4/24,40
2/5/24,39
2/6/24,36
2/7/24,38
2/8/24,43
2/9/24,54
2/10/24,56.5
2/11/24,51.5
2/12/24,46.5
2/13/24,40.5
2/14/24,37
2/15/24,37.5
2/16/24,44
2/17/24,33
2/18/24,35.5
2/19/24,37.5
2/20/24,36.5
2/21/24,38
2/22/24,41.5
2/23/24,44
2/24/24,41
2/25/24,35
2/26/24,51
2/27/24,51.5
2/28/24,52
2/29/24,40.5
1/1/24,39
1/2/24,38.5
1/3/24,37.5
1/4/24,38
1/5/24,31
1/6/24,32
1/7/24,40.5
1/8/24,39.5
1/9/24,48.5
1/10/24,47
1/11/24,41
1/12/24,38.5
1/13/24,38.5
1/14/24,36.5
1/15/24,26.5
1/16/24,23.5
1/17/24,19
1/18/24,23
1/19/24,26.5
1/20/24,19
1/21/24,24.5
1/22/24,23
1/23/24,34
1/24/24,41
1/25/24,56
1/26/24,67.5
1/27/24,51
1/28/24,44.5
1/29/24,42
1/30/24,41
1/31/24,36
4/1/24,56
4/2/24,51
4/3/24,48.5
4/4/24,45
4/5/24,46.5
4/6/24,47.5
4/7/24,49.5
4/8/24,55
4/9/24,64.5
4/10/24,70.5
4/11/24,67.5
